what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1288721476781
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288721476781
java.specification.version,sysinfo,,,"1.6",1288721476781
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288721476781
java.version,sysinfo,,,"1.6.0_21",1288721476781
java.vm.info,sysinfo,,,"mixed mode, sharing",1288721476781
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288721476781
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288721476781
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288721476781
java.vm.specification.version,sysinfo,,,"1.0",1288721476781
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288721476781
java.vm.version,sysinfo,,,"17.0-b17",1288721476781
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288721484250
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1288721486281
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288721569406
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1288721575406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721575484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721576390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288721576406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721579984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721609094
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1288721612765
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1288721612906
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1288721612906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721619750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721621047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288721621047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721622984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721626797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721626828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721628640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721637187
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1288721649219
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288721649312
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1288721649390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721656250
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1288721656265
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288721661172
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288721661234
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1288721661297
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1288721662015
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1288721698219
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288721700375
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288721739719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721746969
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288721756031
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288721756047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721756078
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1288721817219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288721817984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288721843406
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288721854906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721858484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1288721902265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721935890
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288721937594
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288721983547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288721998844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722011265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722011265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722012453
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288722016375
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722017156
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722017203
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1288722017265
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1288722020703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288722026015
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1288722028484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722033328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722033547
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288722035390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722041672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722059406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722059422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722059469
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722061828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722061875
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722071625
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722071625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722086000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722104015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722113609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722169547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722169562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722170984
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1288722196531
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1288722196531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288722200406
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288722203140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722211437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722216765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722216797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722216812
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722219703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722219734
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288722219875
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1288722232109
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722235656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722235656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722237547
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722237594
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288722237594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722244765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722249219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722249219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288722250469
