what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732538703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732562844
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732595750
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732595797
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288732606547
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732606547
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732608453
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732608484
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288732610922
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732610922
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732613359
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732613390
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288732661750
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732661750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732765031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732772000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732776187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732798281
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732798328
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288732798344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732855015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732855297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732900890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288732901140
